P1600,"Disipador CPU Cooler Master MasterAir G200P, 92mm, 800RPM - 2600RPM, Negro/Plata",REFRIGERACION,16,919.00,0
P1601,"Disipador CPU Cooler Master MasterAir MA410P RGB, 120mm, 650-2000RPM, Negro",REFRIGERACION,13,1149.00,0
P1602,"Disipador CPU Thermaltake UX200 ARGB, 120mm, 300 - 1500RPM, Negro",REFRIGERACION,11,1359.00,0
P1603,"Disipador CPU Thermaltake UX100 ARGB, 120mm, 1800RPM, Negro",REFRIGERACION,21,385.00,0
P1604,"Corsair iCUE H100i RGB PRO XT Enfriamiento Líquido para CPU, 2x 120mm, 2400RPM",REFRIGERACION,19,2399.00,0
P1605,"Disipador para CPU Corsair A500 Dual Fan, 120mm, 2400RPM",REFRIGERACION,19,2319.00,0
P1606,Gabinete Acteck Performance 480W Negro,GABINETE,35,$ 499.00 ,0
P1607,GABINETE ACTECK KIRUNA NEGRO 500W ATX AC-05008,GABINETE,26,$ 669.00 ,0
P1608,GABINETE ACTECK-E LYNX NEGRO 500W MICRO ATX USB 3.0 AC9290357506215929035,GABINETE,29,$ 559.00 ,0
P1609,GABINETE ADATA XPG INVADER BLANCO ATX MID-TOWER USB 3.0 C/TEMPLADO ARGB,GABINETE,23,"$ 1,669.00 ",0
P1610,GABINETE GIGABYTE AORUS C300 GLASS RGB MIDI TOWER NEGRO GB-AC300G,GABINETE,30,"$ 3,459.00 ",0
P1611,GABINETE NACEB EVOTEC SLIM VIENA EV-1011 ROJO 600W MATX,GABINETE,35,$ 709.00 ,0
P1612,Gabinete Ocelot CS-672 Gamer/ATX/Panel de vidrio templado,GABINETE,22,"$ 1,119.00 ",0
P1613,GABINETE ACTECK BALAM RUSH KRAKEN ATX NEGRO RGB C/TEMPLADO USB3.0 BR-929608,GABINETE,27,"$ 1,479.00 ",0
P1614,GABINETE INWIN 101 BLANCO SF ATX VIDRIO TEMPLADO,GABINETE,24,"$ 1,949.00 ",0
P1615,GABINETE ACTECK BALAM RUSH BASILISKO RGB ATX C/TEMPLADO USB3.0 BR-929585,GABINETE,26,$ 969.00 ,0
P1616,Gabinete Gigabyte GB-C200G Mid Tower Black Gb-C200G ATX GB-C200G,GABINETE,22,"$ 1,689.00 ",0
P1617,In Win 303 Gabinete ATX Mid Tower Negro USB 3.0,GABINETE,20,"$ 2,229.00 ",0
